@dataValueAttribs							
precip	0	9999	mm				
@dataSetAttribs							
missingDataVal	-9999						
dataStart	01.01.1987 00:00						
dataEnd	31.12.1990 00:00						
tres	d						
@statAttribVal							
name	Station 1	Station 2	Station 3	Station 4	Station 5	Station 6 	Station 7
08.08.1987 00:00	1.523700725	0.056417725	1.378311643	7.221413252	2.412535504	0	6.68E-04
09.08.1987 00:00	17.8531285	20.42830654	16.81972085	10.96729292	10.70953899	25.78030969	26.9916784
10.08.1987 00:00	34.1470736	45.75002315	34.00341079	12.72488695	7.332485388	40.05583325	46.55200461
11.08.1987 00:00	56.88470951	56.22535756	52.728503	34.42631911	24.78350909	54.44344832	62.72607092
12.08.1987 00:00	14.23352162	13.83404911	13.62249261	18.66071573	21.4314564	31.08103967	45.80131641
13.08.1987 00:00	19.40242818	20.41320303	18.19963343	15.91838014	21.63473793	19.31075353	18.39633424
14.08.1987 00:00	10.21417771	9.114001151	10.53802124	6.296407662	19.1996187	17.7959819	21.22233156
15.08.1987 00:00	0.587268697	0.781125701	0.631219082	0	0	0.134288483	0
16.08.1987 00:00	0	0	0	0	0	0	0
17.08.1987 00:00	6.516046756	7.278389227	7.20170677	1.051952486	4.92523401	2.728409654	8.59E-04
18.08.1987 00:00	12.49247035	15.1430422	11.76614415	3.240426155	8.712115448	8.171726026	5.50435609
19.08.1987 00:00	15.39637698	13.97919229	14.85882169	18.16760554	10.21542585	13.92750657	17.1567193
20.08.1987 00:00	9.275272452	7.361209402	9.425734622	23.26004548	35.21037138	9.304571282	0.009042195
21.08.1987 00:00	8.07579589	6.077743012	7.401788039	13.47446591	9.270836671	2.651155219	0.001582131
22.08.1987 00:00	1.09388143	1.120998475	1.109078378	2.407903691	2.31891216	11.27804908	20.26031434
23.08.1987 00:00	0.936697923	0.032318404	0.802892943	3.387290175	1.079784999	0	0
24.08.1987 00:00	41.83052176	55.69751832	41.44544899	3.134012056	6.842095533	12.25021661	0.00124263
25.08.1987 00:00	1.931359001	1.345339337	2.256859181	2.04184224	6.798145083	2.274948396	0.001212473
26.08.1987 00:00	14.1942597	15.87297138	12.87568825	1.9182432	3.422292143	4.070199653	5.08E-04
27.08.1987 00:00	6.62015937	6.550377203	6.373549639	10.67479038	11.31943962	13.69138216	16.23974195
28.08.1987 00:00	30.82437265	34.15538307	32.44357144	30.07055867	20.32815822	9.768377952	0.004298974
29.08.1987 00:00	11.50877742	15.66523274	12.38839374	1.585282345	0.416112942	2.565968008	4.96E-04
30.08.1987 00:00	6.231310094	8.126420779	5.723193286	0.630991311	1.213707955	8.644682206	10.2771496
31.08.1987 00:00	9.52601745	7.828329156	9.469918374	16.39559621	10.59202549	11.33090846	12.79705166
01.09.1987 00:00	39.47127302	47.61273553	39.99766203	10.92071312	11.93838252	24.31666099	22.83644444
02.09.1987 00:00	49.80928663	58.53640012	50.32267491	10.86928022	5.665945323	34.54938539	44.00973095
03.09.1987 00:00	29.81448151	39.93177326	31.90201038	3.707649575	1.000733707	7.091235224	0.001123711
04.09.1987 00:00	22.04244291	16.6724689	22.95672314	33.82013672	39.27448769	20.05822484	13.79445731
05.09.1987 00:00	21.27653702	21.24733766	20.2870496	24.01081163	15.07568111	15.29257034	16.7181841
06.09.1987 00:00	4.436714669	2.081650675	4.556741787	8.911976254	13.92620172	3.916797534	0.00240483
07.09.1987 00:00	6.951852676	5.666323311	7.310964032	7.914839263	10.26095242	3.219617707	0.001821727
08.09.1987 00:00	25.76418877	27.70759894	25.91594158	28.22575732	29.94679159	17.62908211	9.534544627
09.09.1987 00:00	5.160547788	6.206952762	4.686637711	4.936150972	3.220849765	1.760162821	0.001369014
10.09.1987 00:00	3.106413097	4.204964439	2.923892086	0.243869231	0.997101911	61.93977129	91.13856698
11.09.1987 00:00	8.151137043	6.883197316	7.853223074	10.49459754	10.17201587	4.098265731	0.001687753
12.09.1987 00:00	15.97812526	16.12314422	14.28376631	13.07521761	12.73645365	7.467244459	5.0200144
13.09.1987 00:00	7.803544796	8.064078744	7.82152414	12.8831813	20.0212886	32.28738295	36.92061145
14.09.1987 00:00	5.14829057	7.011436031	4.7335043	0	0	1.164130565	0
15.09.1987 00:00	1.452084876	1.667966316	1.424924561	0.490954644	1.146678986	0.709864064	2.75E-04
16.09.1987 00:00	1.19175984	0.224216101	1.564228971	2.550149203	7.966640008	3.938054343	2.587018198
17.09.1987 00:00	1.044583162	1.336819475	0.960758761	0.423986044	0.117354739	4.809754534	8.837282482
18.09.1987 00:00	0	0	0	0.630661514	0.162441812	0	1.94E-04
19.09.1987 00:00	0.253218991	0.009223457	0.194737394	0.966723199	0.294830951	0	0
20.09.1987 00:00	6.747135896	4.427381195	6.94489429	18.65894873	12.50067497	3.21998284	0.003820584
21.09.1987 00:00	5.082965689	4.487261432	4.524243984	5.451048444	3.782295217	16.46434548	23.49616579
22.09.1987 00:00	29.31486642	25.8080708	27.99848546	41.81395743	14.45451018	61.61356497	94.15349764
23.09.1987 00:00	1.007886885	0.224042742	0.974571727	2.704095634	3.10248403	11.31172605	18.26359879
24.09.1987 00:00	5.738341737	5.127857322	5.601585604	5.468954496	13.51891054	11.71531286	11.22253706
25.09.1987 00:00	16.6847204	20.45255072	17.44829306	14.65726278	11.03892204	5.762500825	0.004556153
26.09.1987 00:00	5.14829057	6.119064414	5.453707956	0	0	9.569353089	14.90084026
27.09.1987 00:00	3.366629751	3.8549655	3.288357923	0.142301481	0.602963043	24.954498	43.0566432
28.09.1987 00:00	1.898841764	2.577992071	1.808414938	0	0	10.2077089	16.47984257
29.09.1987 00:00	3.133595836	4.072748413	3.042784739	0	0	8.388788915	13.87232733
30.09.1987 00:00	1.898841764	2.286746755	1.954814611	0	0	0.484293701	0
01.10.1987 00:00	0	0	0	0	0	0	0
02.10.1987 00:00	2.725401036	3.219332756	2.714536309	0	0	2.177435072	2.806154772
03.10.1987 00:00	0	0	0	0	0	0	0
04.10.1987 00:00	1.982331284	2.618070637	2.131977553	0	0	0.438707395	0
05.10.1987 00:00	0.092948296	0.004060366	0.135968262	0.200493087	0.739779143	8.942548875	16.71001295
06.10.1987 00:00	0	0	0	0	0	0	0
07.10.1987 00:00	0	0	0	0	0	0	0
08.10.1987 00:00	0	0	0	0	0	0	0
