@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
05.11.1987 00:00	100	75.6923304	100	75.65733614
06.11.1987 00:00	100	97.38150489	100	94.64129851
07.11.1987 00:00	100	80.56122179	100	87.13572477
08.11.1987 00:00	100	80.0520977	100	69.94491319
09.11.1987 00:00	96.73374566	58.88042114	100	65.76801906
10.11.1987 00:00	100	87.68374681	100	82.28898436
11.11.1987 00:00	100	83.21243539	100	73.49959529
12.11.1987 00:00	97.9449409	67.02600357	100	61.23633918
13.11.1987 00:00	85.09859229	53.8480741	91.20102338	56.63343631
14.11.1987 00:00	100	96.17642186	100	84.79847251
15.11.1987 00:00	100	79.40188453	100	75.0233886
16.11.1987 00:00	100	82.31321744	100	79.03807254
17.11.1987 00:00	100	97.65915446	100	80.99954662
18.11.1987 00:00	100	78.10596285	100	82.77830857
19.11.1987 00:00	100	81.33874268	100	76.95248925
20.11.1987 00:00	100	85.39686107	100	82.14636313
21.11.1987 00:00	100	80.6510267	100	81.46615783
22.11.1987 00:00	89.55128613	64.80105745	100	62.55078109
23.11.1987 00:00	100	65.45350081	100	70.30745479
24.11.1987 00:00	100	81.37782632	100	74.863578
25.11.1987 00:00	100	94.4846243	100	79.11635557
26.11.1987 00:00	100	79.5943839	100	72.96679293
27.11.1987 00:00	100	82.99306756	100	72.62429197
28.11.1987 00:00	100	77.52117941	100	80.94436763
29.11.1987 00:00	100	76.44846276	100	70.03710446
30.11.1987 00:00	86.51804826	58.33724233	85.67018845	57.29358447
01.12.1987 00:00	100	71.88711546	100	63.54326258
02.12.1987 00:00	100	67.99507838	100	68.45890824
03.12.1987 00:00	100	87.56384389	100	87.20061397
04.12.1987 00:00	100	86.57765596	100	77.33903488
05.12.1987 00:00	100	87.80050378	100	93.50202946
06.12.1987 00:00	100	85.79630787	100	89.85239034
07.12.1987 00:00	100	89.26052571	100	85.49773234
08.12.1987 00:00	100	91.23308116	100	80.10558588
09.12.1987 00:00	100	98.34465535	100	84.0524688
10.12.1987 00:00	100	80.80749805	100	81.62187602
11.12.1987 00:00	100	100	100	98.32987327
12.12.1987 00:00	100	100	100	100
13.12.1987 00:00	100	100	100	83.82004615
14.12.1987 00:00	100	96.16793348	100	88.72721947
15.12.1987 00:00	100	85.99891517	100	76.07000351
16.12.1987 00:00	93.5932397	62.62106685	89.65352421	59.41142926
17.12.1987 00:00	100	75.39611138	100	65.40199646
18.12.1987 00:00	100	89.82426556	100	86.31090973
19.12.1987 00:00	100	84.51665828	100	90.38484419
20.12.1987 00:00	83.68373017	60.67979329	89.25486043	55.38368211
21.12.1987 00:00	54.65782474	38.32891621	63.76991843	37.73457871
22.12.1987 00:00	89.03244494	65.38266091	100	57.62826933
23.12.1987 00:00	100	65.44770216	98.79360166	57.78175073
24.12.1987 00:00	100	88.68343727	100	75.40176095
25.12.1987 00:00	89.48628812	54.88183034	100	53.55074731
26.12.1987 00:00	68.6422425	48.65049418	90.41609819	44.52270177
27.12.1987 00:00	97.94723554	61.59448351	100	53.68676736
28.12.1987 00:00	94.7367699	60.98389626	99.44798752	55.12046035
29.12.1987 00:00	100	90.87559862	100	83.41504378
30.12.1987 00:00	73.66060786	50.68852593	92.99249317	54.71096086
31.12.1987 00:00	100	64.89066454	100	64.44879566
01.01.1988 00:00	100	84.97952484	100	73.74108
02.01.1988 00:00	100	71.11583565	100	68.63705386
03.01.1988 00:00	100	83.90813348	100	72.71781941
04.01.1988 00:00	100	81.7089843	100	76.07523136
05.01.1988 00:00	100	72.35000793	100	74.79505851
06.01.1988 00:00	100	78.46768389	100	78.2226716
07.01.1988 00:00	100	81.49526812	100	69.20451637
08.01.1988 00:00	100	80.87310837	100	67.51245388
09.01.1988 00:00	100	87.48897692	100	80.81252909
10.01.1988 00:00	100	95.75063439	100	82.76060388
11.01.1988 00:00	100	99.42059784	100	89.45958123
12.01.1988 00:00	100	89.24388318	100	88.0660111
13.01.1988 00:00	100	87.95817244	100	83.8801432
14.01.1988 00:00	100	96.28768247	100	90.02281539
15.01.1988 00:00	100	85.5085453	100	81.49682189
16.01.1988 00:00	100	78.34785173	100	86.45879812
17.01.1988 00:00	100	81.0264186	100	74.47097648
18.01.1988 00:00	100	81.92329635	100	88.75121401
19.01.1988 00:00	100	99.285609	100	80.52533451
20.01.1988 00:00	100	83.46227321	100	89.44007508
21.01.1988 00:00	100	78.60869677	100	69.27664937
22.01.1988 00:00	100	96.28866935	100	78.03671756
23.01.1988 00:00	100	82.95222113	100	70.15767158
24.01.1988 00:00	100	71.33762528	100	60.05496898
25.01.1988 00:00	27.81311347	21.37805164	32.46900526	18.4679075
26.01.1988 00:00	77.33520452	52.6583883	88.24004911	55.55599719
27.01.1988 00:00	100	81.81950384	100	75.48080731
28.01.1988 00:00	100	79.46890849	100	67.8151337
29.01.1988 00:00	100	69.41921466	100	76.20602422
30.01.1988 00:00	100	81.24485404	100	66.19337812
31.01.1988 00:00	100	70.92216771	100	63.55405459
01.02.1988 00:00	100	81.13495687	100	69.1272165
02.02.1988 00:00	100	75.10038472	100	74.96816844
03.02.1988 00:00	100	84.95132139	100	76.44343358
04.02.1988 00:00	73.93445063	48.82522556	72.08475199	48.62655483
05.02.1988 00:00	93.81410244	72.17444572	100	70.86613322
06.02.1988 00:00	100	84.67177308	100	81.2298401
07.02.1988 00:00	100	88.64604071	100	75.23599778
08.02.1988 00:00	100	91.98426695	100	79.9897155
09.02.1988 00:00	97.38491682	70.82968032	100	67.25838114
10.02.1988 00:00	100	72.46706512	100	77.08180124
11.02.1988 00:00	100	73.79869044	100	71.2636614
12.02.1988 00:00	100	77.2643171	100	81.25692129
13.02.1988 00:00	93.63015654	70.69249962	100	64.83325528
14.02.1988 00:00	81.26113866	52.82150852	91.9352572	52.68389727
15.02.1988 00:00	100	75.65845203	100	81.15281176
16.02.1988 00:00	92.23490619	70.09894663	100	65.62697242
